"Controls","Beta","SE","Bias"
"None",1.98482694596652,0.00871277448602018,0.984826945966515
"Z",1.4956120527583,0.009942220676691,0.495612052758296
"U1",1.98995437578239,0.0101433213984673,0.989954375782393
"Z, U1",0.993546714093666,0.0124103815213416,-0.00645328590633409
"U2",1.65780451372801,0.0073903443299488,0.65780451372801
"Z, U2",1.49976467982192,0.00857492149924332,0.499764679821921
"U1, U2",1.48847649254507,0.00868654801958495,0.488476492545065
"Z, U1, U2",0.997691240359645,0.0100981523445076,-0.00230875964035504
