"Controls","Beta","SE","P_value","Bias","Abs_Bias"
"None",1.71539297310553,0.00702722517325571,0,0.715392973105533,0.715392973105533
"Z",0.818771179146549,0.00987719338765118,0,-0.181228820853451,0.181228820853451
"U1",1.98472133850231,0.00991068371046988,0,0.984721338502308,0.984721338502308
"Z, U1",1.00867556571248,0.0122313825175828,0,0.00867556571248329,0.00867556571248329
"U2",1.50000376273847,0.00504110550637576,0,0.500003762738472,0.500003762738472
"Z, U2",1.01452393504983,0.0082147391496631,0,0.0145239350498338,0.0145239350498338
"U1, U2",1.49718236532991,0.00852739932096236,0,0.497182365329915,0.497182365329915
"Z, U1, U2",1.01256003119487,0.00997487779361165,0,0.0125600311948715,0.0125600311948715
