"Model","Coefficient","Std_Error","CI_Lower_99","CI_Upper_99","Model_Factor","Error_Lower","Error_Upper","Bias","Contains_True"
"X",1.9895,0.0086,1.9673,2.0117,"X",0.0221887618226559,0.0221887618226559,0.9895,FALSE
"X, Z1",1.9911,0.01,1.9654,2.0167,"X, Z1",0.0256585556612654,0.0256585556612654,0.9911,FALSE
"X, Z2",1.4919,0.0099,1.4663,1.5174,"X, Z2",0.0255902328922877,0.0255902328922877,0.4919,FALSE
"X, Z1, Z2",0.9994,0.0122,0.9679,1.0308,"X, Z1, Z2",0.0314582678349803,0.0314582678349802,-6e-04,TRUE
"X, Z1, Z2, Z3",0.9945,0.0098,0.9693,1.0198,"X, Z1, Z2, Z3",0.0252784015893219,0.0252784015893219,-0.0055,TRUE
