Controls,β (Effect),SE,Bias,Abs Bias,p-value
None,1.7039178323261601,0.0069498404782243044,0.7039178323261601,0.7039178323261601,0.0
Z,0.7961944901617897,0.00971549872831644,-0.20380550983821033,0.20380550983821033,0.0
U1,2.006871793989512,0.01004248369914948,1.0068717939895122,1.0068717939895122,0.0
U2,1.4952599161793183,0.004960534936503011,0.4952599161793183,0.4952599161793183,0.0
"Z, U1",1.0136961446216937,0.012205995931781472,0.013696144621693662,0.013696144621693662,0.0
"Z, U2",0.991978260957456,0.008038364931453322,-0.008021739042543996,0.008021739042543996,0.0
"U1, U2",1.504355132692017,0.008782155012682329,0.504355132692017,0.504355132692017,0.0
"Z, U1, U2",1.000048711239468,0.009964986688148929,4.871123946803557e-05,4.871123946803557e-05,0.0
