Controls,β,SE,Bias
None,2.010994722480053,0.008601837710178258,1.0109947224800528
Z,1.5228513607664513,0.009992484031674407,0.5228513607664513
U1,2.011332208839129,0.009981948655617528,1.011332208839129
U2,1.682636826786372,0.0074687748235921295,0.682636826786372
"Z, U1",1.010126328148263,0.01239898982992026,0.010126328148263086
"Z, U2",1.5162386419332947,0.008662095531402242,0.5162386419332947
"U1, U2",1.5194146457702726,0.008740801190095382,0.5194146457702726
"Z, U1, U2",1.00453757125429,0.010146703028030796,0.004537571254290107
