Model,Coefficient,Std_Error,CI_Lower_99,CI_Upper_99,Bias,Contains_True
X,2.000026685626763,0.008551404155547407,1.9779955222809191,2.0220578489726067,1.000026685626763,False
"X, Z1",2.0085742184734716,0.00993908299252242,1.9829679483083045,2.0341804886386385,1.0085742184734716,False
"X, Z2",1.4888789908251936,0.009759531817652675,1.463735302157298,1.514022679493089,0.4888789908251936,False
"X, Z1, Z2",1.00194492187464,0.012060285214242473,0.970873752874761,1.033016090874519,0.0019449218746399044,True
"X, Z1, Z2, Z3",1.0079052344703345,0.009961958691585417,0.9822400281761323,1.0335704407645367,0.007905234470334532,True
