Controls,Beta,SE,P_value,Bias,Abs_Bias
None,1.6952825079881595,0.0070756967695950156,0.0,0.6952825079881595,0.6952825079881595
Z,0.7880320444214658,0.00970942815408195,0.0,-0.2119679555785342,0.2119679555785342
U1,1.9850661708318367,0.010296369084849278,0.0,0.9850661708318367,0.9850661708318367
U2,1.4897582658519233,0.004974616791222375,0.0,0.4897582658519233,0.4897582658519233
"Z, U1",0.9818435285282301,0.01232618017472107,0.0,-0.01815647147176991,0.01815647147176991
"Z, U2",0.9969179021182153,0.008115798841919904,0.0,-0.0030820978817847067,0.0030820978817847067
"U1, U2",1.4816005205087333,0.008721783272796206,0.0,0.48160052050873325,0.48160052050873325
"Z, U1, U2",0.9889761683660558,0.010009815414274042,0.0,-0.011023831633944159,0.011023831633944159
