Controls,Beta,SE,Bias
None,1.994333442530633,0.008736378396950555,0.9943334425306329
Z,1.4861972825620282,0.010049219198056304,0.4861972825620282
U1,1.9975644550771179,0.010090578331778028,0.9975644550771179
"Z, U1",0.9897266311527646,0.012342882896279566,-0.010273368847235398
U2,1.6633701618181682,0.007443120754245007,0.6633701618181682
"Z, U2",1.489051250192373,0.00866410978816989,0.48905125019237294
"U1, U2",1.4963675218177594,0.00866760446230512,0.49636752181775945
"Z, U1, U2",0.986004446790659,0.009962266320319104,-0.013995553209340983
